employeeid,fullname,phonenumber,email,hiredate,contractenddate
1,Бакунович Никита Андреевич,+375291234501,bakunovich@lido.by,2025-03-01,2026-03-01
2,Велич Никита Олегович,+375291234502,velich@lido.by,2025-03-02,2026-03-02
3,Георгиев Никита Димитров,+375291234503,georgiev@lido.by,2025-03-03,2027-03-03
4,Говор Павел Сергеевич,+375291234504,govor@lido.by,2025-03-04,2025-09-04
5,Горчаков Никита Сергеевич,+375291234505,gorchakov@lido.by,2025-03-05,2026-03-05
6,Гусаков Святослав,+375291234506,gusakov@lido.by,2025-03-01,2027-03-01
7,Демидович Руслан Сергеевич,+375291234507,demidovich@lido.by,2025-03-02,2025-09-02
8,Дылевский Егор Олегович,+375291234508,dylevski@lido.by,2025-03-03,2026-03-03
9,Жуковская Вероника Кирилловна,+375291234509,zhukovskaya@lido.by,2025-03-04,2027-03-04
10,Золотницкий Алексей Андреевич,+375291234510,zolotnitski@lido.by,2025-03-05,2025-09-05
11,Каражан Ксения Александровна,+375291234511,karajan@lido.by,2025-03-01,2026-03-01
12,Коледа Анна Валерьевна,+375291234512,koleda@lido.by,2025-03-02,2027-03-02
13,Корзун Ксения Игоревна,+375291234513,korzun@lido.by,2025-03-03,2025-09-03
14,Кузьмин Дмитрий Сергеевич,+375291234514,kuzmin@lido.by,2025-03-04,2026-03-04
15,Курдеко Никита Андреевич,+375291234515,kurdeko@lido.by,2025-03-05,2027-03-05
16,Курчицкий Глеб Анатольевич,+375291234516,kurchitski@lido.by,2025-03-01,2025-09-01
17,Лемешонок Дмитрий Андреевич,+375291234517,lemeshonok@lido.by,2025-03-02,2026-03-02
18,Мащенко Артур Витальевич,+375291234518,mashchenko@lido.by,2025-03-03,2027-03-03
19,Мелюх Евгений Сергеевич,+375291234519,melyukh@lido.by,2025-03-04,2025-09-04
20,Можейко Дмитрий Олегович,+375291234520,mozheiko@lido.by,2025-03-05,2026-03-05
21,Мынзул Александр Эдуардович,+375291234521,minzul@lido.by,2025-03-01,2027-03-01
22,Николаев Иван Ярославович,+375291234522,nikolaev@lido.by,2025-03-02,2025-09-02
23,Осинин Иван Николаевич,+375291234523,osinin@lido.by,2025-03-03,2026-03-03
24,Патюпин Михаил Сергеевич,+375291234524,patyupin@lido.by,2025-03-04,2027-03-04
25,Приловский Виктор Витальевич,+375291234525,prilovski@lido.by,2025-03-05,2025-09-05
26,Рыбак Феона Игоревна,+375291234526,rybak@lido.by,2025-03-01,2026-03-01
27,Савинич Тимофей Максимович,+375291234527,savinich@lido.by,2025-03-02,2027-03-02
28,Хорошун Никита Андреевич,+375291234528,khoroshun@lido.by,2025-03-03,2025-09-03
29,Черняк Станислав Сергеевич,+375291234529,chernyak@lido.by,2025-03-04,2026-03-04
30,Шагун Денис Валерьевич,+375291234530,shagun@lido.by,2025-03-05,2027-03-05
31,Шах Евгений Дмитриевич,+375291234531,shakh@lido.by,2025-03-01,2025-09-01
32,Абуям Токимаци,+375298041999,abuym@lido.by,2025-03-05,2025-09-05
